hospital_id,hospital_name,hospital_city_direct,cghs_city,state,hosp_type_code,nabh_status,nabl_status,pincode,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
2723,HEALTHCARE GLOBAL ENTERPRISES LIMITED,BANGALORE,Bangalore,Karnataka,1,N,N,560027,9341,4220.75,3942.70,278.05,6.59
2160,MEHNDI RATTA HOSPITAL,AMBALA,Ambala,Punjab,1,N,N,134003,7289,4013.13,3736.73,276.40,6.89
3133,JEEWAN HOSPITAL & NURSING HOME PVT LTD- NEW DELHI,NEW DELHI,Delhi 2,Delhi,0,N,N,110014,3204,3783.74,3507.61,276.14,7.30
993,KAILASH HOSPITALS LTD - Greater Noida,GREATER NOIDA,Delhi 2,Delhi,1,Y,Y,201308,50862,3518.92,3244.06,274.86,7.81
2517,KRISHNA HOSPITAL AND RESEARCH CENTRE,HALDWANI,Bareilly,Uttar Pradesh,1,N,N,263141,70206,3790.52,3516.28,274.24,7.23
5022,Mumbai Upnagar - Kanjurmarg,Mumbai,Mumbai,Maharashtra,M,N,N,400078,14774,1102.21,828.91,273.30,24.80
384,Getwell Hospital - Narnoul,Narnoul,Jaipur,Rajasthan,1,N,N,123001,5824,1519.00,1248.37,270.63,17.82
2207,VELLMED TRICITY HOSPITAL (RSR HEALTH VELL SPL HOSP),MOHALI,Chandimandir,Chandigarh,1,N,N,140413,4012,2973.33,2702.99,270.34,9.09
1298,MOHAN HOSPITAL & HEART CENTRE,BULANDSHAHR,Bareilly,Uttar Pradesh,1,N,N,203001,17693,2932.89,2663.41,269.48,9.19
3423,RPS HOSPITAL MATERNITY & TRAUMA CENTRE,BHIWANI,Hisar,Haryana,,N,N,127114,1503,2218.68,1950.66,268.02,12.08
1060,BHARDWAJ HOSPITAL - Noida,NOIDA,Delhi 2,Delhi,1,Y,Y,201301,17654,2528.00,2260.74,267.26,10.57
3677,GLOBE MEDICARE,LUCKNOW,Lucknow,Uttar Pradesh,,N,N,226016,2168,2521.35,2254.72,266.63,10.57
3548,SAIDEEP HEALTHCARE & RESEARCH PVT LTD,AHMEDNAGAR,Pune,Maharashtra,,N,N,414003,7607,1535.04,1269.02,266.02,17.33
1471,PUSHPAGIRI MEDICAL COLLEGE HOSPITAL - TIRUVALLA,PATHANAMTHITTA,Trivandrum,Kerala,1,N,N,689101,104451,3990.42,3724.57,265.85,6.66
3439,RAIKA MULTISPECIALITY HOSPITAL,CHURU,Hisar,Haryana,,N,N,331023,1758,2250.83,1986.01,264.82,11.77
3058,MAZUMDAR SHAW MEDICAL CENTER (A UNIT OF NARAYANA,BANGALORE,Bangalore,Karnataka,1,N,N,560099,10666,2598.61,2334.89,263.72,10.15
3657,"OSCAR SUPERSPECIALITY HOSPITAL AND TRAUMA CENTRE , CHARKHI DADRI",CHARKHI DADRI,Hisar,Haryana,,N,N,127306,3207,2445.63,2181.98,263.65,10.78
5126,Palakkad,Palakkad,Kochi,Kerala,N,N,N,,10808,1035.41,772.64,262.77,25.38
252,SUNSHINE HOSPITALS(A UNIT OF SARVEJANA HEALTH CARE PVT LTD),SECUNDERABAD,Secunderabad,Andhra Pradesh,1,N,N,500003,23761,3151.38,2888.69,262.69,8.34
407,Uppal Neuro Hospital,Amritsar,Jalandhar,Punjab,1,N,N,143001,8071,4866.06,4603.43,262.63,5.40
973,LHDM & DR. PREM HOSPITAL,PANIPAT,Ambala,Punjab,1,N,N,132103,17456,4543.30,4280.83,262.47,5.78
3242,KALP VRIKSH HOSPITAL AND RESEARCH CENTRE FOUNDATIO,JHUNJHUNU,Jaipur,Rajasthan,0,N,N,333031,2504,1343.23,1080.98,262.25,19.52
5087,Bhopal,Bhopal,Jabalpur,Madhya Pradesh,M,N,N,462001,4370,683.98,421.84,262.14,38.33
2351,WOCKHARDT HOSPITALS LTD.,THANE,Mumbai,Maharashtra,1,N,Y,401107,21137,1626.28,1364.91,261.37,16.07
