hospital_name_with_id,hosp_type_code,nabh_status,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
KERALA INSTITUTE OF MEDICAL SCIENCES [3045],1,N,17720,5209.68,5009.11,200.57,3.85
GAJRAJ HOSPITAL [2801],1,N,11674,5669.00,5469.24,199.76,3.52
HI-TECH EMERGENCY HOSPITAL [3009],1,N,7457,1320.43,1120.72,199.72,15.13
HERITAGE HEALTHCARE PRIVATE LIMITED [894],1,Y,45901,3941.49,3742.81,198.67,5.04
DR VIJAY MAXCARE HOSPITAL PRIVATE LIMITED [2764],1,N,4895,2425.40,2227.76,197.65,8.15
Royal Cancer Institute & Research Centre (A Unit of Oncocare Medicals Pvt Ltd)-Kanpur [343],1,N,1162,880.10,682.68,197.42,22.43
GHEESIBAI MEMORIAL MITTAL HOSPITAL & RESEARCH  [1093],1,N,36618,3554.92,3358.14,196.78,5.54
LE CREST HOSPITAL (A UNIT OF GARG HEART AND MULTISPECIALITY HOSPITAL PVT LTD) [4213],,N,547,938.01,741.93,196.08,20.90
Indore [5474],N,N,1104,483.95,288.54,195.41,40.38
SACRED HEART HOSPITAL - JYOTHI PROVINCE SACRED H C [1385],1,Y,24222,3778.81,3583.54,195.26,5.17
Basavatarakam INDO - American Cancer Hospital & Research Institute [115],1,N,7217,4524.45,4329.95,194.50,4.30
VINAYAKA MISSION HOSPITAL - SALEM [571],1,N,34794,4887.34,4693.88,193.45,3.96
MAHAVIR JAIPURIA RAJASTHAN HOSPITAL [2822],1,N,5105,1326.72,1133.40,193.32,14.57
Tiruvannamalai [5187],N,N,778,434.82,241.66,193.15,44.42
Ludhiana [5006],N,N,9808,904.84,711.99,192.85,21.31
Agra [5406],M,N,19357,1054.48,862.09,192.39,18.25
KAUSHAL HOSPITAL - KHARAR [2088],1,N,3225,2917.43,2725.72,191.71,6.57
MANN MEDICITI WELLNESS CENTRE PRIVATE LIMITED [472],1,N,3131,3613.84,3422.43,191.41,5.30
LIFELINE MULTISPECIALITY HOSPITAL - BHIWANI [3560],,N,1083,1531.10,1340.40,190.70,12.46
SATARA HOSPITAL & RESEARCH CENTRE PVT LTD [1947],1,N,13061,1785.04,1594.84,190.20,10.65
St.Thomas Hospital - Chethipuzha [184],1,N,16502,1511.55,1321.52,190.03,12.57
Kottarakara [5066],N,N,47148,1685.31,1495.45,189.86,11.27
SONIA HOSPITAL(A UNIT OF ALTIUS HEALTHCARE PVT LTD [1589],1,N,3365,1722.51,1534.58,187.93,10.91
MAX SUPER SPECIALITY HOSPITAL - MOHALI [240],1,N,26707,5224.60,5037.37,187.23,3.58
Chandigarh [5002],N,N,35840,2247.84,2062.20,185.64,8.26
SADHU VASWANI MISSIONS MEDICAL COMPLEX [3566],,N,21413,2283.09,2098.82,184.27,8.07
DAYANAND HOSPITAL AND CRITICAL CARE CENTRE [1598],1,N,6246,3466.90,3282.75,184.15,5.31
YASHRAJ HOSPITAL [2947],1,N,2923,1894.59,1711.51,183.08,9.66
CHEEMA MEDICAL COMPLEX PVT LTD [108],1,N,2452,1910.29,1727.70,182.59,9.56
PURUSHOTTAMDAS SAVITRIDEVI CANCER CARE & RESEARCH CENTRE [2345],1,N,4643,2941.27,2760.13,181.14,6.16
OP JINDAL INSTITUTE OF CANCER AND CARDIAC RESEARCH [3276],,N,20809,2767.75,2587.17,180.58,6.52
North Star Hospital (A Unit of Miracle Medicare Pvt. Ltd) [718],1,N,1287,1011.52,832.41,179.11,17.71
MEDICA SUPERSPECIALITY HOSPITAL [699],1,N,29100,4890.00,4712.04,177.96,3.64
ICON KRISHI HOSPITAL PVT LTD [3029],1,N,14891,2117.56,1939.72,177.83,8.40
"CITY HOSPITAL, GURDASPUR [3853]",,N,1052,2156.59,1978.90,177.69,8.24
CARE HOSPITAL (A QUALITY CARE INDIA LIMITED) [660],5,N,21404,3065.03,2887.69,177.33,5.79
KONARC MULTISPECIALITY HOSPITAL [3041],1,N,1541,2136.02,1959.29,176.74,8.27
MGM Muthoot Medical Centre - Pathanamthitta [160],1,N,61198,3985.11,3808.54,176.57,4.43
NIRAMAY HOSPITAL [2575],1,N,2845,1402.18,1227.06,175.12,12.49
Jammu [5243],M,N,13545,1026.47,851.65,174.82,17.03
PRAKASH HOSPITAL (RUN BY GAUTAM BUDH HEALTH CARE F) [3626],,N,911,1208.08,1033.46,174.62,14.45
PHULL NEURO AND MULTISPECIALITY HOSPITAL [2859],1,N,5052,3222.12,3047.61,174.51,5.42
IIMT LIFE LINE HOSPITAL - MEERUT [2333],1,N,6692,2686.72,2513.24,173.48,6.46
Belgaum [5254],M,N,21746,723.03,550.06,172.96,23.92
SHRI MAHANT INDIRESH HOSPITAL [1376],1,N,58865,7268.43,7095.65,172.78,2.38
